Date,Open,High,Low,Close,Volume,Market_Trend,Año,Rendimiento_%,Volatilidad,Media_Movil_6M,Epoca
2004-06-01,384.0,404.6,381.1,393.3,24903.0,DESCONOCIDO,2004,2.4218750000000027,23.5,,1. Crisis Subprime (2004-2011)
2004-07-01,391.6,408.6,384.5,390.5,34840.0,BAJISTA,2004,-0.2808988764045002,24.100000000000023,,1. Crisis Subprime (2004-2011)
2004-08-01,390.3,413.8,388.1,409.3,40483.0,ALCISTA,2004,4.868050217781194,25.69999999999999,,1. Crisis Subprime (2004-2011)
2004-09-01,409.6,418.6,394.3,417.8,47047.0,ALCISTA,2004,2.0019531249999973,24.30000000000001,,1. Crisis Subprime (2004-2011)
2004-10-01,417.8,430.2,409.1,428.1,25857.0,,2004,2.465294399234086,21.099999999999966,,1. Crisis Subprime (2004-2011)
2004-11-01,429.6,454.8,416.8,450.3,26742.0,BAJISTA,2004,4.818435754189941,38.0,414.8833333333334,1. Crisis Subprime (2004-2011)
2004-12-01,450.7,456.3,431.5,437.0,25902.0,BAJISTA,2004,-3.0397159973374723,24.80000000000001,422.1666666666667,1. Crisis Subprime (2004-2011)
2005-01-01,437.1,437.3,416.5,422.1,32619.0,ALCISTA,2005,-3.431708991077556,20.80000000000001,427.43333333333334,1. Crisis Subprime (2004-2011)
2005-02-01,422.1,437.7,409.8,435.0,36360.0,BAJISTA,2005,3.05614783226723,27.899999999999977,431.7166666666667,1. Crisis Subprime (2004-2011)
2005-03-01,435.0,446.6,423.1,427.8,26681.0,BAJISTA,2005,-1.6551724137931008,23.5,433.3833333333334,1. Crisis Subprime (2004-2011)
2005-04-01,427.7,437.2,421.7,434.0,32970.0,ALCISTA,2005,1.4729950900163693,15.5,434.36666666666673,1. Crisis Subprime (2004-2011)
2005-05-01,433.8,434.1,413.3,416.8,34514.0,ALCISTA,2005,-3.9188566159520515,20.80000000000001,428.7833333333333,1. Crisis Subprime (2004-2011)
2005-06-01,416.6,443.2,414.2,423.05,17282.0,,2005,1.5482477196351387,29.0,426.4583333333333,1. Crisis Subprime (2004-2011)
2005-07-01,434.2,436.2,417.8,429.3,14226.0,ALCISTA,2005,-1.1285122063565125,18.399999999999977,427.6583333333333,1. Crisis Subprime (2004-2011)
2005-08-01,429.2,449.1,428.6,434.6,19704.0,BAJISTA,2005,1.2581547064305765,20.5,427.5916666666667,1. Crisis Subprime (2004-2011)
2005-09-01,434.8,466.8,434.3,468.8,24669.0,BAJISTA,2005,7.819687212511499,32.5,434.42499999999995,1. Crisis Subprime (2004-2011)
2005-10-01,467.3,484.5,459.5,465.2,24110.0,BAJISTA,2005,-0.44939011341750973,25.0,439.625,1. Crisis Subprime (2004-2011)
2005-11-01,465.6,502.2,454.8,498.5,21141.0,ALCISTA,2005,7.066151202749135,47.39999999999998,453.24166666666673,1. Crisis Subprime (2004-2011)
